Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,19.653,0.011,0.004,4.918,998.284,-1.716,0.27,0.27,9.66,66.22,6.078,8.19,6.090,6.090,
0.100,20.487,0.098,0.185,205.447,998.179,-1.821,6.59,6.59,74.19,76.61,6.894,8.12,6.908,6.908,
0.200,20.844,0.096,0.182,199.915,998.102,-1.899,7.01,7.01,80.73,72.45,6.482,8.10,6.496,6.496,
0.300,20.929,0.095,0.181,198.425,998.083,-1.918,6.47,6.47,78.98,74.53,6.661,8.10,6.675,6.675,
0.400,20.943,0.095,0.180,198.158,998.081,-1.921,6.28,6.28,78.78,70.19,6.272,8.11,6.285,6.285,
0.500,20.949,0.095,0.180,197.933,998.080,-1.923,6.06,6.06,76.47,71.92,6.424,8.11,6.438,6.438,
0.600,20.951,0.095,0.180,197.614,998.080,-1.923,6.00,6.00,77.97,74.44,6.649,8.11,6.663,6.663,
0.700,20.952,0.095,0.180,197.636,998.080,-1.923,5.91,5.91,79.12,74.48,6.650,8.10,6.664,6.664,
0.800,20.951,0.095,0.180,197.882,998.081,-1.923,5.86,5.86,80.35,69.07,6.166,8.12,6.179,6.179,
0.900,20.951,0.095,0.180,197.753,998.081,-1.923,5.86,5.86,81.41,69.57,6.209,8.11,6.222,6.222,
1.000,20.954,0.095,0.180,197.770,998.081,-1.924,5.88,5.88,81.89,80.53,7.187,8.11,7.202,7.203,
1.100,20.955,0.095,0.180,197.868,998.081,-1.924,5.73,5.73,75.09,69.78,6.229,8.12,6.242,6.243,
1.200,20.956,0.095,0.181,198.149,998.081,-1.924,5.67,5.67,75.26,62.85,5.611,8.11,5.623,5.623,
1.300,20.955,0.095,0.180,198.044,998.082,-1.924,5.67,5.67,73.12,71.26,6.358,8.11,6.372,6.372,
1.400,20.957,0.095,0.180,198.083,998.082,-1.924,5.69,5.69,75.28,76.99,6.870,8.11,6.885,6.885,
1.500,20.958,0.095,0.180,197.423,998.082,-1.925,5.69,5.69,74.30,75.51,6.738,8.11,6.752,6.752,
1.600,20.959,0.095,0.179,196.743,998.082,-1.925,5.78,5.78,78.29,75.12,6.700,8.11,6.714,6.714,
1.700,20.958,0.095,0.179,196.781,998.083,-1.925,5.76,5.76,77.77,72.88,6.500,8.10,6.514,6.514,
1.800,20.958,0.095,0.179,196.809,998.083,-1.925,5.72,5.72,76.36,61.81,5.513,8.11,5.525,5.525,
1.900,20.958,0.095,0.179,197.008,998.084,-1.925,5.71,5.71,76.38,66.47,5.929,8.11,5.942,5.942,
2.000,20.959,0.095,0.179,196.991,998.084,-1.925,5.74,5.74,77.14,70.00,6.244,8.11,6.257,6.258,
2.100,20.958,0.095,0.179,196.837,998.085,-1.925,5.66,5.66,75.53,64.39,5.742,8.11,5.754,5.754,
2.200,20.958,0.095,0.179,197.003,998.085,-1.925,5.71,5.71,76.52,69.27,6.178,8.11,6.191,6.191,
2.300,20.959,0.094,0.179,196.593,998.085,-1.925,5.80,5.80,77.96,72.12,6.432,8.11,6.446,6.446,
2.400,20.958,0.094,0.179,196.117,998.086,-1.925,5.76,5.76,77.48,73.72,6.574,8.11,6.588,6.589,
2.500,20.959,0.094,0.179,196.086,998.086,-1.925,5.79,5.79,80.07,73.46,6.551,8.11,6.565,6.565,
2.600,20.958,0.094,0.179,196.318,998.086,-1.925,5.76,5.76,77.23,74.18,6.616,8.08,6.630,6.630,
2.700,20.958,0.094,0.179,196.451,998.087,-1.925,5.74,5.74,77.06,69.51,6.199,8.11,6.212,6.212,
2.800,20.959,0.094,0.179,196.621,998.087,-1.925,5.67,5.67,74.65,75.38,6.722,8.11,6.736,6.737,
2.900,20.959,0.094,0.179,196.524,998.088,-1.925,5.67,5.67,74.80,74.90,6.678,8.11,6.692,6.693,
3.000,20.959,0.094,0.179,196.535,998.088,-1.925,5.76,5.76,79.01,71.75,6.397,8.11,6.411,6.411,
