//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=176       
StartTime=2019/11/05 12:06:05
EndTime=2019/11/05 12:06:24
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,21.098,0.099,0.188,205.788,998.048,-1.952,6.66,6.66,78.07,65.79,5.847,8.16,5.859,5.860,
0.100,21.098,0.099,0.188,205.720,998.048,-1.952,6.26,6.26,76.43,61.68,5.480,8.15,5.492,5.492,
0.200,21.093,0.099,0.188,205.329,998.050,-1.951,5.80,5.80,75.89,73.59,6.538,8.13,6.552,6.552,
0.300,21.091,0.098,0.187,204.896,998.051,-1.951,5.67,5.67,76.63,74.64,6.632,8.12,6.646,6.646,
0.400,21.088,0.098,0.187,204.831,998.052,-1.950,5.57,5.57,76.60,72.15,6.411,8.13,6.425,6.425,
0.500,21.082,0.098,0.187,204.676,998.053,-1.949,5.48,5.48,77.21,68.88,6.122,8.12,6.135,6.135,
0.600,21.076,0.098,0.187,204.522,998.055,-1.948,5.44,5.44,78.16,72.90,6.480,8.12,6.494,6.494,
0.700,21.078,0.098,0.187,204.574,998.055,-1.948,5.38,5.38,76.99,76.46,6.796,8.12,6.810,6.811,
0.800,21.073,0.098,0.187,204.311,998.056,-1.947,5.30,5.30,74.52,85.11,7.565,8.12,7.581,7.581,
0.900,21.072,0.098,0.187,204.395,998.057,-1.947,5.27,5.27,73.23,83.47,7.420,8.11,7.436,7.436,
1.000,21.065,0.098,0.187,204.265,998.059,-1.945,5.27,5.27,73.20,80.82,7.184,8.11,7.199,7.199,
1.100,21.064,0.098,0.187,204.433,998.060,-1.945,5.27,5.27,73.39,74.33,6.607,8.10,6.621,6.621,
1.200,21.069,0.098,0.187,204.366,998.059,-1.946,5.26,5.26,72.08,76.75,6.822,8.10,6.837,6.837,
1.300,21.069,0.098,0.187,204.581,998.060,-1.946,5.27,5.27,73.06,79.86,7.099,8.11,7.114,7.114,
1.400,21.063,0.098,0.187,204.748,998.062,-1.945,5.28,5.28,73.39,76.53,6.803,8.11,6.818,6.818,
1.500,21.059,0.098,0.187,204.520,998.063,-1.944,5.29,5.29,73.58,79.20,7.041,8.09,7.056,7.056,
1.600,21.056,0.098,0.187,204.613,998.064,-1.943,5.30,5.30,74.10,74.75,6.646,8.10,6.660,6.660,
1.700,21.053,0.098,0.187,204.291,998.065,-1.943,5.28,5.28,73.94,76.06,6.762,8.10,6.777,6.777,
1.800,21.050,0.098,0.187,204.731,998.066,-1.942,5.28,5.28,73.94,72.06,6.406,8.10,6.420,6.420,
1.900,21.045,0.098,0.187,204.383,998.067,-1.941,5.26,5.26,73.17,59.69,5.307,8.10,5.318,5.319,
2.000,21.044,0.098,0.187,204.504,998.068,-1.941,5.23,5.23,71.64,63.89,5.680,8.10,5.693,5.693,
2.100,21.048,0.098,0.187,204.910,998.068,-1.941,5.24,5.24,71.74,69.27,6.159,8.09,6.172,6.172,
2.200,21.053,0.098,0.187,204.656,998.067,-1.943,5.23,5.23,71.47,73.34,6.520,8.09,6.534,6.534,
2.300,21.054,0.098,0.187,204.519,998.067,-1.943,5.22,5.22,71.72,71.95,6.396,8.10,6.410,6.410,
2.400,21.052,0.098,0.186,203.701,998.068,-1.943,5.21,5.21,71.53,71.31,6.339,8.09,6.353,6.353,
2.500,21.040,0.098,0.185,203.042,998.071,-1.940,5.26,5.26,71.45,66.26,5.892,8.09,5.904,5.904,
2.600,21.034,0.098,0.186,203.827,998.073,-1.939,5.25,5.25,70.80,70.97,6.310,8.10,6.324,6.324,
2.700,21.033,0.098,0.186,203.809,998.073,-1.939,5.23,5.23,71.38,64.64,5.747,8.10,5.760,5.760,
2.800,21.030,0.098,0.186,203.544,998.074,-1.938,5.23,5.23,72.26,66.47,5.911,8.11,5.924,5.924,
2.900,21.027,0.098,0.185,203.226,998.075,-1.938,5.25,5.25,72.66,72.20,6.421,8.08,6.434,6.435,
3.000,21.025,0.097,0.185,202.698,998.076,-1.937,5.25,5.25,72.40,66.16,5.884,8.10,5.897,5.897,
3.100,21.023,0.097,0.185,202.575,998.077,-1.937,5.27,5.27,72.62,74.63,6.637,8.10,6.651,6.651,
3.200,21.023,0.097,0.185,202.755,998.077,-1.937,5.27,5.27,72.73,73.26,6.516,8.10,6.530,6.530,
3.300,21.023,0.097,0.185,202.527,998.078,-1.937,5.28,5.28,72.92,70.19,6.242,8.10,6.256,6.256,
3.400,21.022,0.097,0.184,202.171,998.078,-1.937,5.27,5.27,74.35,71.84,6.389,8.10,6.403,6.403,
3.500,21.022,0.097,0.185,202.882,998.079,-1.937,5.27,5.27,74.63,71.57,6.365,8.10,6.379,6.379,
3.600,21.022,0.097,0.185,202.350,998.079,-1.937,5.27,5.27,74.82,65.98,5.868,8.08,5.881,5.881,
3.700,21.022,0.097,0.184,202.059,998.080,-1.937,5.30,5.30,74.54,66.64,5.927,8.09,5.940,5.940,
3.800,21.021,0.097,0.184,201.842,998.080,-1.937,5.32,5.32,74.73,67.52,6.006,8.10,6.019,6.019,
3.900,21.021,0.097,0.184,201.850,998.081,-1.937,5.31,5.31,75.21,65.10,5.791,8.09,5.803,5.803,
4.000,21.020,0.097,0.185,202.413,998.082,-1.936,5.30,5.30,74.79,70.95,6.311,8.09,6.324,6.325,
4.100,21.019,0.097,0.185,202.400,998.082,-1.936,5.32,5.32,75.02,73.20,6.511,8.10,6.525,6.525,
4.200,21.018,0.097,0.184,202.170,998.083,-1.936,5.34,5.34,76.27,75.83,6.746,8.09,6.760,6.760,
4.300,21.018,0.097,0.184,202.018,998.083,-1.936,5.32,5.32,75.06,69.26,6.161,8.09,6.174,6.175,
4.400,21.018,0.098,0.185,203.121,998.084,-1.936,5.33,5.33,75.72,74.06,6.588,8.09,6.602,6.602,
4.500,21.018,0.098,0.185,203.174,998.084,-1.936,5.34,5.34,76.96,73.73,6.559,8.10,6.573,6.573,
4.600,21.017,0.097,0.185,202.708,998.085,-1.936,5.36,5.36,77.42,66.81,5.943,8.08,5.955,5.955,
4.700,21.018,0.097,0.184,201.766,998.085,-1.936,5.36,5.36,77.97,67.51,6.005,8.09,6.018,6.018,
4.800,21.017,0.097,0.185,202.296,998.086,-1.936,5.35,5.35,77.56,71.49,6.359,8.10,6.373,6.373,
4.900,21.018,0.098,0.186,203.507,998.086,-1.935,5.35,5.35,77.77,74.46,6.623,8.11,6.637,6.637,
5.000,21.019,0.098,0.185,203.070,998.086,-1.936,5.36,5.36,78.52,68.40,6.084,8.09,6.097,6.098,
5.100,21.019,0.098,0.186,203.339,998.087,-1.936,5.34,5.34,79.20,70.18,6.243,8.09,6.256,6.256,
5.200,21.019,0.098,0.186,203.777,998.088,-1.936,5.36,5.36,80.40,72.95,6.489,8.10,6.503,6.503,
5.300,21.019,0.097,0.185,202.564,998.088,-1.936,5.38,5.38,80.91,71.82,6.388,8.10,6.402,6.402,
5.400,21.019,0.098,0.186,203.414,998.088,-1.936,5.37,5.37,80.18,72.93,6.488,8.10,6.502,6.502,
5.500,21.019,0.098,0.185,203.048,998.089,-1.936,5.37,5.37,79.27,70.37,6.259,8.11,6.273,6.273,
5.600,21.020,0.097,0.185,202.637,998.089,-1.936,5.38,5.38,79.47,71.31,6.344,8.09,6.357,6.358,
5.700,21.019,0.097,0.185,202.730,998.089,-1.936,5.40,5.40,79.75,66.68,5.931,8.09,5.944,5.944,
5.800,21.019,0.097,0.185,202.710,998.090,-1.936,5.38,5.38,80.37,67.95,6.044,8.09,6.057,6.058,
5.900,21.019,0.097,0.185,202.848,998.090,-1.936,5.38,5.38,79.86,64.19,5.710,8.09,5.722,5.722,
6.000,21.020,0.098,0.186,204.344,998.091,-1.936,5.38,5.38,80.24,70.81,6.299,8.09,6.312,6.312,
