Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:87905000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87905000;1;01/04/2021;;1;1;163,902;16,317;47,009;1;30;2;2;2;;0;163,902;126,827;110,452;92,879;80,322;69,985;64,758;58,503;52,559;48,585;43,7;41,095;38,073;36,605;34,22;31,463;29,688;28,819;27,54;26,289;25,066;23,873;22,325;21,198;20,829;19,74;19,029;18,332;17,31;16,317;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/01/2021;;1;1;407,345;9,408;72,399;19;6;2;2;2;;0;14,725;13,509;11,782;10,695;9,913;9,408;12,631;19,029;15,037;11,782;10,431;13,808;16,976;18,679;16,645;17,988;46,928;254,447;407,345;249,459;132,228;92,879;66,695;51,408;41,61;36,605;34,691;62,848;210,156;186,864;147,169;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;
87905000;1;01/12/2020;;1;1;40,584;14,111;27,586;15;30;1;1;1;;0;30,569;29,252;31,915;38,569;37,581;32,369;31,915;38,569;37,091;32,827;27,963;27,54;32,369;39,57;40,584;34,691;28,819;26,703;25,878;26,289;25,878;24,665;22,325;20,099;17,988;16,976;16,317;15,352;14,725;14,111;15,67;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/11/2020;;1;1;139,601;25,066;55,047;1;28;1;1;1;0;0;139,601;118,071;103,083;92,879;83,923;77,498;73,354;69,985;63,482;61,591;60,347;56,687;53,14;49,705;46,382;43,7;46,382;43,7;39,57;36,605;35,165;33,753;32,369;29,688;27,963;26,703;25,471;25,066;26,289;29,252;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
87905000;1;01/10/2020;;1;1;620,744;82,909;221,3;6;22;1;1;1;;0;233,989;218,176;232,843;375,713;563,064;620,744;544,292;410,688;324,615;258,66;220,404;192,259;168,846;149,629;135,921;124,534;112,785;104,722;99,243;90,907;85,057;82,909;85,057;87,96;90,907;87,96;134,139;315,336;315,336;223,765;169,834;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/09/2020;;1;1;5010,51;7,078;559,492;15;30;2;2;2;0;0;343,718;352,484;376,387;379,428;329,349;296,091;385,548;367,333;329,349;349,55;355,429;304,243;514,448;894,808;5010,51;1359,965;1039,297;693,867;517,992;407,345;326,511;269,702;232,382;204,489;182,579;167,967;184,716;267,129;335,061;7,078;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;0;
87905000;1;01/08/2020;;1;1;336,496;45,839;103,67;31;27;1;1;1;0;0;202,243;181,516;165,928;149,092;140,536;127,719;118,071;109,621;102,28;95,963;92,116;89,844;87,601;84,652;81,036;76,104;72,674;69,321;65,4;64,118;60,347;56,088;53,14;50,837;48,585;46,382;45,839;49,143;77,498;213,592;336,496;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;
87905000;1;01/07/2020;;1;1;804,371;137,739;357,393;2;24;1;1;1;0;0;491,703;804,371;767,366;643,589;489,975;377,906;308,36;439,5;671,517;620,114;521,548;451,037;376,387;318,07;262,02;227,612;206,746;210,156;207,88;200,01;181,516;160,885;147,169;137,739;151,999;274,883;345,171;333,628;286,717;235,992;227,612;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;
87905000;1;01/06/2020;;1;1;1314,774;36,122;316,231;14;5;1;1;1;0;0;61,591;50,837;44,23;48,029;36,122;40,075;56,088;78,199;123,287;121,536;107,968;122,41;608,536;1314,774;1210,446;1183,694;722,832;370,339;284,066;231,185;210,156;220,548;196,682;175,199;165,928;218,217;306,984;408,924;432,973;335,061;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0;
87905000;1;01/05/2020;;1;1;358,387;7,078;54,665;26;11;1;1;1;0;0;7,972;7,972;7,972;7,972;7,972;7,972;7,972;7,972;7,972;7,518;7,078;8,438;10,431;12,062;11,505;10,962;9,913;9,408;8,917;8,917;9,408;19,74;53,723;85,385;251,947;358,387;262,02;176,244;127,719;99,097;74,036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/04/2020;;1;1;27,963;7,972;12,516;3;28;1;1;1;0;0;8,917;12,062;27,963;26,289;22,325;19,74;16,645;15,992;15,037;14,111;13,213;12,631;12,062;11,505;11,232;10,695;10,431;9,913;9,913;9,659;9,408;8,917;8,917;8,917;8,438;8,438;8,203;7,972;7,972;7,972;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;
87905000;1;01/03/2020;;1;1;17,31;9,408;12,824;1;31;1;1;1;0;0;17,31;15,992;15,352;14,725;13,808;13,509;12,631;12,062;12,062;11,505;10,962;10,962;10,695;10,431;10,171;9,913;10,431;12,631;16,317;16,976;16,317;15,67;14,725;14,111;12,921;12,345;11,505;11,232;10,695;10,171;9,408;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/02/2020;;1;1;63,482;18,679;29,977;2;29;1;1;1;0;0;59,729;63,482;50,837;42,127;37,581;34,22;32,369;33,289;33,753;33,289;32,369;30,127;26,703;25,066;24,267;23,481;22,707;22,707;22,707;22,707;22,707;22,707;22,707;22,707;22,707;21,946;21,198;20,462;18,679;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;
87905000;1;01/01/2020;;1;1;154,934;40,584;62,574;12;30;1;1;1;0;0;48,029;69,321;54,899;52,559;48,585;45,3;44,763;44,763;44,23;42,127;120,665;154,934;106,328;74,722;68,66;67,347;66,695;68,002;63,482;51,408;55,492;82,473;68,002;60,967;50,837;56,687;50,269;45,839;42,127;40,584;49,705;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2019;;1;1;147,169;47,477;87,079;1;31;1;1;1;0;0;147,169;142,416;130,415;124,168;118,071;112,124;105,512;100,682;95,188;92,116;86,859;81,036;75,412;71,997;71,997;74,036;84,652;83,923;75,412;68,66;78,199;95,963;104,699;81,753;69,321;62,218;58,503;55,492;53,723;50,269;47,477;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;
87905000;1;01/11/2019;;1;1;3208,792;154,934;714,406;1;30;2;2;2;0;0;3208,792;3038,517;2680,681;2051,888;1191,689;1066,935;1024,372;880,942;685,698;550,424;466,086;396,373;358,387;330,772;352,484;322,277;304,243;278,801;243,292;222,89;206,746;191,197;184,716;176,244;173,117;170,018;183,646;173,117;162,893;154,934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;
87905000;1;01/10/2019;;1;1;;;;;;0;0;0;0;0;162,893;156,905;173,117;339,376;704,145;;631,798;486,526;349,55;289,381;256,96;227,612;211,298;196,682;323,686;567,001;849;1624,22;1975,406;1684,546;1619,721;1256,597;822,081;653,497;517,992;446,075;461,043;503,888;589,478;1061,883;2593,727;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/09/2019;;1;1;2028,203;172,081;581,715;13;30;2;2;2;0;0;552,254;563,296;476,252;364,339;281,427;238,413;222,89;222,89;277,492;337,934;451,037;1452,589;2028,203;1877,545;1670,918;1498,119;808,781;639,647;543,133;452,697;380,954;327,929;300,154;270,992;237,201;221,717;206,746;192,288;181,516;172,081;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/08/2019;;1;1;;;;;;0;0;0;0;0;1046,8;908,78;702,084;627,891;543,133;452,697;394,818;362,847;388,626;635,717;;1084,707;1371,38;1207,758;906,444;669,503;552,254;469,462;408,924;358,387;319,47;284,066;258,22;235,992;220,548;207,88;195,579;186,864;180,456;173,117;256,96;;;;;;2;;;;;0;3;;;;;;;;;;;;;;;;;;;;
87905000;1;01/07/2019;;1;1;1934,814;89,093;500,424;28;22;1;1;1;0;0;244,52;228,8;180,456;167,967;128,615;116,356;107,146;102,28;95,963;92,879;90,598;89,844;91,355;113,808;142,416;124,168;118,932;113,808;103,89;95,963;92,116;89,093;114,654;431,349;1514,275;1702,764;1793,225;1934,814;1894,637;1871,864;1524,582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/06/2019;;1;1;519,769;86,859;176,977;1;28;2;2;2;0;0;519,769;423,273;364,339;298,796;272,286;240,847;217,056;198,897;181,516;171,048;160,885;151,999;146,213;138,668;133,139;127,719;123,287;118,932;117,212;118,932;114,654;105,512;101,479;97,524;94,415;90,598;87,601;86,859;123,287;182,579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;0;
87905000;1;01/05/2019;;1;1;1286,91;174,156;456,709;15;3;1;1;1;0;0;315,281;212,444;174,156;209,016;274,883;219,381;219,381;209,016;186,864;200,01;436,231;643,589;631,798;994,839;1286,91;944,174;689,777;505,641;404,195;325,097;286,717;280,113;325,097;428,11;444,427;432,973;370,339;437,864;752,376;714,497;602,788;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
87905000;1;01/04/2019;;1;1;641,617;34,22;116,765;29;1;1;1;1;0;0;34,22;38,569;38,073;38,569;77,498;172,081;180,456;121,536;94,415;82,473;71,997;64,118;57,289;47,477;49,705;52,559;72,674;76,799;72,674;66,695;60,967;56,088;51,408;46,928;47,477;60,967;155,918;332,199;641,617;539,506;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;
87905000;1;01/03/2019;;1;1;77,498;34,22;54,1;10;31;1;1;1;0;0;66,695;61,591;57,894;54,899;50,837;50,837;59,114;54,899;67,347;77,498;69,985;62,848;56,088;51,982;48,585;45,839;44,763;45,3;54,31;75,412;71,323;62,848;54,31;51,982;48,585;44,23;41,095;38,569;37,091;36,122;34,22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/02/2019;;1;1;202,243;73,354;118,341;3;28;1;1;1;0;0;161,888;185,788;202,243;166,946;167,967;153,952;143,361;129,514;120,665;114,654;108,793;109,621;106,328;102,28;98,309;107,968;112,124;112,124;120,665;115,504;105,512;98,309;89,093;81,036;76,104;75,412;74,036;73,354;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
87905000;1;01/01/2019;;1;1;1666,383;57,289;597,651;15;2;1;1;1;0;0;62,218;57,289;71,997;162,893;145,259;95,963;86,859;91,355;81,036;82,473;351,015;960,919;1275,846;1540,818;1666,383;1622,72;1284,14;968,139;1079,615;1295,239;1323,191;1199,71;771,675;500,392;385,548;320,872;272,286;229,991;201,125;178,344;161,888;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2018;;1;1;184,716;60,347;100,246;24;15;1;1;1;0;0;133,139;149,092;140,536;112,124;108,793;99,888;90,598;83,923;76,104;73,354;70,653;66,695;64,758;62,848;60,347;60,347;62,848;66,046;76,799;92,879;122,41;156,905;181,516;184,716;156,905;132,228;112,964;90,598;79,611;71,323;66,695;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/11/2018;;1;1;469,462;107,968;200,287;21;17;2;2;2;0;0;190,109;214,744;256,96;273,583;302,877;300,154;222,89;179,398;153,952;138,668;136,813;127,719;119,797;116,356;113,808;111,286;107,968;164,914;285,391;462,721;469,462;352,484;211,298;177,292;171,048;154,934;136,813;124,168;116,356;114,654;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;0;
87905000;1;01/10/2018;;1;1;1523,108;163,902;574,478;3;30;2;2;2;0;0;1248,391;1458,477;1523,108;1499,586;1340,102;831,007;627,891;526,904;507,396;519,769;631,798;585,702;597,066;591,371;639,647;661,476;595,165;462,721;345,171;313,891;297,442;282,746;246,983;214,744;198,897;190,109;185,788;181,516;173,117;163,902;166,946;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/09/2018;;1;1;2857,677;254,447;960,853;3;23;1;1;1;0;0;1303,594;2099,662;2857,677;2587,069;1843,589;1426,236;901,781;702,084;555,922;477,957;418,463;368,834;335,061;306,984;346,628;405,768;424,882;421,667;361,357;313,891;296,091;272,286;254,447;724,923;1798,787;1732,601;1619,721;1607,74;1226,638;833,246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/08/2018;;1;1;937,043;143,361;358,697;27;19;2;2;2;0;0;710,347;589,478;479,665;407,345;362,847;332,199;297,442;264,569;274,883;281,427;258,22;225,245;202,243;193,382;184,716;173,117;159,885;151,999;143,361;145,259;154,934;173,117;229,991;290,717;474,55;853,528;937,043;819,857;528,695;399,493;420,063;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
87905000;1;01/07/2018;;1;1;1765,542;114,654;626,197;28;1;1;1;1;0;0;114,654;117,212;337,934;597,066;593,266;481,376;500,392;572,58;627,891;687,736;543,133;428,11;361,357;301,514;264,569;226,427;228,8;353,955;449,38;535,891;544,951;523,331;464,402;467,773;606,617;965,729;1598,771;1765,542;1649,783;1529,005;972,967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/06/2018;;1;1;604,701;65,4;161,63;12;1;1;1;1;0;0;65,4;70,653;75,412;86,859;105,512;96,742;90,598;81,036;76,799;74,036;146,213;604,701;537,697;373,357;296,091;231,185;193,382;165,928;148,129;130,415;121,536;113,808;109,621;129,514;134,053;130,415;125,937;112,124;108,793;112,964;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
87905000;1;01/05/2018;;1;1;671,517;66,046;181,457;4;31;1;1;1;0;0;88,345;90,598;124,168;671,517;503,888;467,773;428,11;345,171;237,201;202,243;171,048;151,999;136,813;126,827;117,212;105,512;95,188;96,742;113,808;184,716;178,344;144,308;136,813;118,071;105,512;95,963;90,598;83,197;76,104;71,323;66,046;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/04/2018;;1;1;263,293;34,691;92,366;3;20;1;1;1;0;0;81,036;127,719;263,293;202,243;165,928;140,536;112,964;95,188;79,611;72,674;67,347;63,482;61,591;57,289;52,559;48,029;43,172;36,605;35,642;34,691;57,289;114,654;109,621;100,682;119,797;112,124;99,888;72,674;70,653;71,997;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
87905000;1;01/03/2018;;1;1;149,092;12,921;44,836;26;14;1;1;1;0;0;46,382;44,763;36,122;30,127;25,066;23,093;20,829;19,383;17,31;16,645;15,037;14,416;13,808;12,921;16,317;22,707;26,703;28,389;31,915;32,369;32,369;28,389;24,665;28,389;88,345;149,092;149,092;134,053;107,968;83,923;69,321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/02/2018;;1;1;54,31;15,67;31,882;15;9;1;1;1;0;0;30,127;27,119;24,665;23,093;21,57;20,099;17,988;16,645;15,67;22,707;35,165;41,095;44,763;50,269;54,31;45,839;38,569;33,289;28,389;27,119;27,119;40,584;44,23;39,068;33,289;30,569;24,665;34,691;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
87905000;1;01/01/2018;;1;1;105,512;31,915;53,238;21;31;1;1;1;0;0;60,347;59,114;60,967;74,722;73,354;65,4;59,114;52,559;44,23;38,569;34,691;33,289;32,369;35,642;44,23;44,763;44,23;55,492;77,498;86,12;105,512;79,611;66,695;59,114;48,029;41,095;38,073;36,122;34,22;33,289;31,915;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2017;;1;1;105,512;53,14;77,04;1;22;1;1;1;0;0;105,512;99,888;98,309;96,742;95,188;97,524;96,742;95,188;92,879;86,859;77,498;74,722;73,354;69,985;65,4;64,118;62,218;60,347;59,114;57,894;55,492;53,14;53,723;71,323;89,093;86,859;76,799;74,036;71,323;64,118;62,848;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/11/2017;;1;1;505,641;111,286;250,431;10;30;1;1;1;0;0;397,931;325,097;296,091;364,339;502,138;472,851;376,387;346,628;377,906;505,641;385,548;286,717;260,75;225,245;206,746;191,197;180,456;175,199;166,946;164,914;159,885;147,169;139,601;132,228;129,514;125,051;123,287;121,536;114,654;111,286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
