//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=181       
StartTime=2019/11/05 15:10:25
EndTime=2019/11/05 15:12:53
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,21.368,0.012,0.007,7.386,997.922,-2.078,0.40,0.40,8.63,71.57,6.438,8.20,6.451,6.452,
0.100,21.071,0.116,0.221,241.787,998.067,-1.933,3.58,3.58,103.08,53.22,4.753,8.13,4.763,4.764,
0.200,21.180,0.115,0.219,239.468,998.043,-1.958,5.03,5.03,89.81,84.50,7.509,8.12,7.525,7.526,
0.300,21.197,0.115,0.220,239.548,998.040,-1.962,5.37,5.37,81.49,47.50,4.217,8.12,4.227,4.227,
0.400,21.208,0.115,0.219,239.382,998.038,-1.964,6.01,6.01,76.96,88.71,7.874,8.12,7.891,7.891,
0.500,21.219,0.114,0.217,237.193,998.035,-1.967,6.39,6.39,74.14,77.69,6.889,8.12,6.904,6.904,
0.600,21.220,0.115,0.220,239.685,998.036,-1.967,6.03,6.03,72.49,62.57,5.547,8.12,5.559,5.559,
0.700,21.228,0.115,0.220,239.822,998.035,-1.968,5.23,5.23,73.77,74.72,6.616,8.12,6.630,6.631,
0.800,21.225,0.115,0.220,239.813,998.036,-1.968,5.27,5.27,75.92,55.42,4.908,8.13,4.918,4.919,
0.900,21.218,0.115,0.220,239.781,998.038,-1.966,5.19,5.19,76.30,56.23,4.980,8.14,4.991,4.991,
1.000,21.219,0.115,0.220,239.834,998.038,-1.966,5.15,5.15,76.03,81.04,7.177,8.11,7.193,7.193,
1.100,21.220,0.115,0.220,239.700,998.038,-1.967,5.09,5.09,75.94,58.84,5.211,8.12,5.223,5.223,
1.200,21.221,0.115,0.220,239.846,998.039,-1.967,5.02,5.02,76.00,61.92,5.484,8.13,5.495,5.496,
1.300,21.220,0.115,0.220,239.687,998.039,-1.967,4.99,4.99,76.68,70.69,6.260,8.12,6.274,6.274,
1.400,21.215,0.115,0.220,239.842,998.041,-1.965,4.90,4.90,75.95,83.28,7.376,8.13,7.392,7.392,
1.500,21.213,0.115,0.220,239.842,998.042,-1.965,4.88,4.88,75.97,56.59,5.012,8.13,5.023,5.023,
1.600,21.213,0.115,0.220,239.870,998.042,-1.965,4.88,4.88,76.05,67.44,5.974,8.12,5.987,5.987,
1.700,21.213,0.115,0.220,239.872,998.043,-1.965,4.87,4.87,76.16,69.19,6.129,8.12,6.142,6.142,
1.800,21.212,0.115,0.220,239.818,998.043,-1.965,4.87,4.87,76.55,58.61,5.192,8.12,5.203,5.203,
1.900,21.209,0.115,0.220,240.018,998.044,-1.964,4.85,4.85,75.94,81.08,7.182,8.14,7.197,7.197,
2.000,21.202,0.115,0.220,239.892,998.046,-1.963,4.81,4.81,76.08,62.15,5.505,8.12,5.517,5.518,
2.100,21.194,0.115,0.220,239.771,998.049,-1.961,4.81,4.81,73.69,67.86,6.012,8.12,6.025,6.025,
2.200,21.203,0.115,0.220,239.824,998.047,-1.963,4.73,4.73,67.80,73.25,6.488,8.12,6.502,6.502,
2.300,21.208,0.115,0.220,239.593,998.046,-1.964,4.77,4.77,70.81,58.82,5.209,8.12,5.221,5.221,
2.400,21.192,0.115,0.220,239.755,998.050,-1.961,4.85,4.85,75.51,72.49,6.421,8.13,6.435,6.435,
2.500,21.183,0.115,0.219,239.464,998.053,-1.959,4.85,4.85,76.87,63.86,5.658,8.12,5.670,5.670,
2.600,21.187,0.115,0.220,240.154,998.052,-1.959,4.87,4.87,76.85,60.64,5.372,8.11,5.384,5.384,
