Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,21.713,0.014,0.012,12.703,997.847,-2.153,-2.38,-2.38,7.73,68.31,6.002,8.19,6.015,6.016,
0.100,21.438,0.111,0.214,231.790,997.983,-2.017,4.07,4.07,66.26,70.50,6.217,8.11,6.231,6.231,
0.200,21.440,0.120,0.232,251.584,997.990,-2.011,4.25,4.25,68.05,58.18,5.130,8.11,5.141,5.141,
0.300,21.439,0.120,0.231,250.427,997.990,-2.011,4.78,4.78,71.93,68.90,6.074,8.12,6.087,6.087,
0.400,21.436,0.121,0.234,253.542,997.993,-2.009,5.95,5.95,75.26,72.28,6.372,8.14,6.386,6.387,
0.500,21.437,0.121,0.233,253.355,997.993,-2.009,6.05,6.05,73.66,68.96,6.079,8.12,6.092,6.093,
0.600,21.439,0.121,0.234,253.582,997.993,-2.010,5.88,5.88,76.85,74.65,6.580,8.11,6.595,6.595,
0.700,21.445,0.121,0.233,252.829,997.992,-2.011,5.32,5.32,76.21,79.47,7.004,8.11,7.020,7.020,
0.800,21.445,0.121,0.233,252.555,997.992,-2.011,4.86,4.86,72.73,71.22,6.277,8.14,6.291,6.291,
0.900,21.447,0.121,0.233,252.690,997.992,-2.012,4.68,4.68,69.92,61.24,5.398,8.11,5.410,5.410,
1.000,21.449,0.120,0.232,251.198,997.992,-2.013,4.58,4.58,70.36,75.66,6.668,8.12,6.683,6.683,
1.100,21.449,0.121,0.233,252.792,997.993,-2.012,4.52,4.52,70.54,68.66,6.051,8.12,6.065,6.065,
1.200,21.446,0.121,0.233,252.607,997.994,-2.012,4.44,4.44,69.27,65.47,5.770,8.12,5.783,5.783,
1.300,21.444,0.121,0.233,252.653,997.995,-2.011,4.46,4.46,68.71,73.25,6.456,8.12,6.470,6.471,
1.400,21.441,0.121,0.233,252.426,997.996,-2.011,4.44,4.44,69.98,69.01,6.082,8.14,6.096,6.096,
1.500,21.442,0.121,0.233,252.364,997.996,-2.011,4.45,4.45,70.83,74.97,6.608,8.14,6.622,6.623,
1.600,21.442,0.121,0.232,252.053,997.996,-2.011,4.46,4.46,71.11,63.45,5.593,8.14,5.605,5.605,
1.700,21.442,0.121,0.233,252.794,997.997,-2.011,4.51,4.51,74.16,69.20,6.099,8.12,6.113,6.113,
1.800,21.439,0.121,0.233,252.698,997.998,-2.010,4.51,4.51,75.21,62.28,5.489,8.12,5.501,5.501,
1.900,21.435,0.122,0.234,254.344,998.000,-2.009,4.52,4.52,74.95,61.50,5.421,8.12,5.432,5.433,
2.000,21.426,0.122,0.235,254.744,998.003,-2.006,4.53,4.53,73.84,66.42,5.855,8.11,5.868,5.869,
2.100,21.412,0.123,0.236,256.498,998.007,-2.003,4.52,4.52,73.39,71.64,6.316,8.11,6.329,6.330,
2.200,21.403,0.123,0.236,256.539,998.009,-2.001,4.51,4.51,72.55,75.65,6.670,8.12,6.684,6.685,
2.300,21.400,0.123,0.236,256.728,998.010,-2.000,4.46,4.46,70.97,67.35,5.940,8.11,5.953,5.953,
2.400,21.404,0.123,0.236,256.295,998.010,-2.001,4.45,4.45,71.38,74.18,6.542,8.11,6.556,6.557,
2.500,21.405,0.123,0.236,256.710,998.010,-2.001,4.44,4.44,71.17,71.06,6.267,8.11,6.280,6.281,
2.600,21.398,0.123,0.237,256.956,998.012,-1.999,4.46,4.46,70.98,70.05,6.178,8.11,6.191,6.192,
2.700,21.399,0.123,0.236,256.813,998.012,-2.000,4.34,4.34,65.56,74.13,6.538,8.12,6.552,6.552,
2.800,21.416,0.122,0.234,254.304,998.008,-2.004,4.31,4.31,65.65,63.47,5.597,8.12,5.609,5.609,
2.900,21.407,0.123,0.236,256.496,998.011,-2.002,4.38,4.38,67.39,72.77,6.417,8.12,6.431,6.431,
3.000,21.409,0.122,0.236,255.799,998.011,-2.002,4.41,4.41,68.91,68.95,6.080,8.11,6.093,6.094,
3.100,21.413,0.122,0.235,254.605,998.010,-2.004,4.42,4.42,69.56,70.76,6.240,8.12,6.254,6.254,
3.200,21.395,0.125,0.241,261.999,998.017,-1.997,4.46,4.46,71.86,68.01,5.998,8.11,6.011,6.011,
3.300,21.383,0.125,0.240,260.534,998.020,-1.995,4.49,4.49,71.99,69.96,6.171,8.12,6.185,6.185,
3.400,21.371,0.132,0.254,276.503,998.029,-1.986,4.50,4.50,72.00,74.89,6.606,8.12,6.620,6.621,
3.500,21.366,0.134,0.258,279.888,998.031,-1.984,4.47,4.47,69.40,66.97,5.909,8.12,5.922,5.922,
3.600,21.357,0.144,0.276,300.519,998.041,-1.975,4.43,4.43,68.39,65.16,5.749,8.12,5.762,5.762,
3.700,21.353,0.144,0.278,301.947,998.043,-1.973,4.39,4.39,66.28,69.15,6.103,8.12,6.116,6.116,
3.800,21.354,0.145,0.279,303.638,998.044,-1.973,4.33,4.33,64.67,72.22,6.374,8.12,6.388,6.388,
3.900,21.354,0.145,0.280,304.566,998.045,-1.973,4.35,4.35,65.14,69.77,6.159,8.11,6.172,6.172,
4.000,21.353,0.145,0.280,304.202,998.045,-1.973,4.41,4.41,68.83,68.68,6.062,8.11,6.075,6.075,
4.100,21.352,0.158,0.305,331.600,998.056,-1.962,4.49,4.49,72.38,79.41,7.008,8.12,7.023,7.024,
4.200,21.349,0.162,0.311,338.390,998.060,-1.959,4.52,4.52,72.95,65.12,5.747,8.11,5.760,5.760,
4.300,21.350,0.167,0.321,349.124,998.064,-1.956,4.55,4.55,73.89,67.76,5.980,8.13,5.993,5.994,
4.400,21.350,0.168,0.323,350.807,998.065,-1.955,4.54,4.54,73.62,65.75,5.803,8.11,5.815,5.815,
4.500,21.348,0.172,0.331,359.492,998.069,-1.951,4.57,4.57,73.64,62.96,5.556,8.12,5.568,5.569,
4.600,21.347,0.176,0.339,368.219,998.073,-1.948,4.58,4.58,74.02,72.99,6.441,8.11,6.455,6.455,
4.700,21.352,0.207,0.398,432.231,998.096,-1.925,4.60,4.60,73.62,65.66,5.793,8.12,5.806,5.806,
4.800,21.354,0.214,0.412,447.517,998.101,-1.920,4.62,4.62,73.75,66.85,5.898,8.11,5.911,5.911,
4.900,21.355,0.219,0.420,457.031,998.105,-1.917,4.63,4.63,74.35,77.22,6.813,8.12,6.828,6.828,
5.000,21.357,0.224,0.430,467.717,998.109,-1.913,4.67,4.67,74.17,79.87,7.046,8.12,7.061,7.062,
5.100,21.359,0.226,0.434,471.772,998.111,-1.912,4.61,4.61,74.08,84.05,7.414,8.14,7.430,7.430,
5.200,21.358,0.227,0.436,473.593,998.112,-1.911,4.60,4.60,73.77,78.28,6.905,8.12,6.920,6.921,
5.300,21.359,0.229,0.439,477.426,998.114,-1.910,4.57,4.57,72.74,66.62,5.877,8.11,5.890,5.890,
5.400,21.360,0.229,0.441,478.858,998.114,-1.910,4.54,4.54,71.12,59.24,5.226,8.12,5.237,5.237,
5.500,21.360,0.232,0.445,484.185,998.117,-1.908,4.53,4.53,69.16,81.53,7.192,8.11,7.207,7.208,
5.600,21.361,0.237,0.454,493.693,998.120,-1.905,4.47,4.47,67.80,81.98,7.232,8.12,7.247,7.248,
5.700,21.362,0.239,0.458,498.019,998.122,-1.903,4.52,4.52,70.43,95.93,8.462,8.11,8.480,8.480,
5.800,21.363,0.242,0.465,505.180,998.125,-1.901,4.60,4.60,71.72,54.57,4.813,8.11,4.824,4.824,
5.900,21.363,0.243,0.465,505.658,998.126,-1.900,4.60,4.60,72.05,65.92,5.814,8.12,5.827,5.827,
6.000,21.363,0.249,0.478,519.388,998.132,-1.895,4.59,4.59,73.26,61.22,5.399,8.11,5.411,5.411,
6.100,21.363,0.248,0.475,516.811,998.131,-1.896,4.60,4.60,73.18,64.79,5.714,8.11,5.727,5.727,
6.200,21.363,0.255,0.489,531.468,998.137,-1.891,4.62,4.62,73.88,91.54,8.073,8.12,8.091,8.091,
6.300,21.364,0.259,0.495,538.173,998.140,-1.889,4.62,4.62,73.50,75.81,6.686,8.12,6.700,6.701,
6.400,21.364,0.264,0.506,549.649,998.144,-1.884,4.62,4.62,73.88,53.54,4.721,8.14,4.732,4.732,
6.500,21.365,0.270,0.517,561.696,998.149,-1.880,4.56,4.56,70.72,85.37,7.528,8.12,7.545,7.545,
6.600,21.366,0.280,0.535,581.963,998.157,-1.873,4.50,4.50,67.30,79.54,7.014,8.12,7.029,7.029,
6.700,21.367,0.292,0.557,605.495,998.166,-1.864,4.48,4.48,67.19,71.36,6.291,8.12,6.305,6.305,
6.800,21.361,0.328,0.624,678.458,998.195,-1.835,4.60,4.60,70.65,107.54,9.480,8.12,9.501,9.502,
6.900,21.355,0.343,0.652,708.998,998.209,-1.822,4.64,4.64,72.95,116.87,10.302,8.11,10.325,10.325,
7.000,21.350,0.349,0.664,722.006,998.215,-1.816,4.63,4.63,72.16,69.33,6.112,8.11,6.125,6.125,
7.100,21.348,0.354,0.672,730.978,998.219,-1.812,4.67,4.67,73.09,45.93,4.049,8.12,4.058,4.058,
7.200,21.343,0.367,0.696,756.490,998.231,-1.801,4.65,4.65,73.50,95.50,8.419,8.11,8.437,8.438,
7.300,21.340,0.373,0.708,769.698,998.237,-1.796,4.67,4.67,73.07,102.07,8.999,8.11,9.018,9.019,
7.400,21.336,0.384,0.728,791.301,998.246,-1.787,4.65,4.65,73.15,53.61,4.727,8.12,4.737,4.737,
7.500,21.333,0.392,0.742,807.120,998.253,-1.780,4.65,4.65,72.60,78.77,6.945,8.12,6.960,6.960,
7.600,21.332,0.393,0.743,808.735,998.255,-1.779,4.61,4.61,70.64,72.49,6.391,8.11,6.404,6.405,
7.700,21.332,0.393,0.744,809.509,998.256,-1.779,4.62,4.62,71.25,55.08,4.856,8.11,4.867,4.867,
7.800,21.329,0.396,0.749,815.305,998.259,-1.776,4.60,4.60,71.39,80.25,7.075,8.12,7.091,7.091,
7.900,21.327,0.409,0.772,840.007,998.269,-1.766,4.65,4.65,72.30,75.13,6.624,8.12,6.639,6.639,
8.000,21.326,0.415,0.783,852.401,998.275,-1.761,4.67,4.67,73.22,71.93,6.341,8.11,6.355,6.356,
8.100,21.325,0.421,0.796,865.619,998.280,-1.756,4.66,4.66,73.14,66.06,5.824,8.11,5.836,5.837,
8.200,21.321,0.451,0.849,923.974,998.304,-1.733,4.69,4.69,73.84,83.17,7.332,8.12,7.348,7.348,
8.300,21.318,0.467,0.878,955.205,998.317,-1.720,4.68,4.68,73.55,75.96,6.696,8.12,6.710,6.710,
8.400,21.316,0.475,0.892,971.057,998.324,-1.713,4.67,4.67,73.23,73.48,6.477,8.12,6.491,6.492,
8.500,21.315,0.481,0.904,984.222,998.330,-1.708,4.64,4.64,72.16,77.32,6.815,8.12,6.830,6.831,
8.600,21.315,0.483,0.908,987.719,998.332,-1.707,4.69,4.69,72.19,70.48,6.213,8.11,6.226,6.226,
8.700,21.315,0.484,0.909,988.729,998.333,-1.706,4.63,4.63,72.22,68.85,6.069,8.12,6.082,6.083,
8.800,21.314,0.486,0.913,994.090,998.335,-1.704,4.73,4.73,72.88,75.03,6.614,8.11,6.628,6.628,
8.900,21.314,0.493,0.926,1007.677,998.341,-1.699,4.69,4.69,73.94,77.16,6.802,8.12,6.817,6.817,
9.000,21.314,0.497,0.933,1014.863,998.344,-1.696,4.67,4.67,73.33,68.17,6.009,8.12,6.022,6.022,
9.100,21.314,0.505,0.948,1031.532,998.351,-1.690,4.70,4.70,74.33,80.20,7.069,8.11,7.085,7.085,
9.200,21.313,0.512,0.959,1043.955,998.357,-1.685,4.68,4.68,74.80,67.89,5.984,8.11,5.997,5.997,
9.300,21.304,0.594,1.107,1205.171,998.422,-1.620,4.67,4.67,74.55,62.43,5.500,8.12,5.512,5.512,
