Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,21.319,0.012,0.007,7.770,997.933,-2.067,0.14,0.14,7.97,72.17,6.452,8.23,6.466,6.466,
0.100,21.134,0.120,0.230,251.198,998.057,-1.944,3.35,3.35,89.16,65.72,5.836,8.16,5.849,5.849,
0.200,21.436,0.118,0.227,246.838,997.989,-2.012,4.58,4.58,69.40,64.94,5.742,8.15,5.754,5.754,
0.300,21.451,0.118,0.227,246.014,997.986,-2.015,5.15,5.15,71.17,67.44,5.958,8.15,5.971,5.971,
0.400,21.454,0.118,0.227,245.918,997.986,-2.016,5.79,5.79,75.10,69.57,6.143,8.15,6.157,6.157,
0.500,21.453,0.118,0.227,246.280,997.987,-2.015,5.47,5.47,74.00,67.55,5.963,8.15,5.976,5.976,
0.600,21.451,0.118,0.227,246.044,997.987,-2.015,5.05,5.05,72.60,66.12,5.835,8.15,5.848,5.848,
0.700,21.452,0.118,0.227,246.502,997.988,-2.015,4.81,4.81,72.65,62.95,5.555,8.16,5.567,5.567,
0.800,21.449,0.118,0.228,246.968,997.989,-2.014,4.77,4.77,73.84,68.68,6.060,8.16,6.073,6.074,
0.900,21.457,0.118,0.227,245.798,997.988,-2.016,4.69,4.69,72.38,65.94,5.818,8.15,5.830,5.831,
1.000,21.457,0.116,0.224,242.395,997.987,-2.018,4.63,4.63,71.47,75.68,6.676,8.16,6.691,6.691,
1.100,21.460,0.118,0.227,245.650,997.988,-2.017,4.56,4.56,69.07,74.94,6.610,8.14,6.625,6.625,
1.200,21.461,0.118,0.227,245.732,997.988,-2.017,4.68,4.68,74.21,69.36,6.117,8.15,6.131,6.131,
1.300,21.460,0.118,0.227,245.825,997.989,-2.017,4.56,4.56,72.99,71.58,6.313,8.16,6.327,6.327,
1.400,21.459,0.118,0.227,245.730,997.989,-2.017,4.56,4.56,73.26,70.45,6.214,8.15,6.228,6.228,
1.500,21.459,0.118,0.226,245.578,997.990,-2.017,4.54,4.54,71.27,74.84,6.600,8.16,6.615,6.615,
1.600,21.459,0.118,0.226,245.445,997.990,-2.017,4.50,4.50,69.79,66.75,5.887,8.15,5.900,5.900,
1.700,21.459,0.118,0.227,245.821,997.991,-2.017,4.51,4.51,70.50,66.18,5.836,8.16,5.849,5.849,
1.800,21.459,0.118,0.227,245.713,997.991,-2.017,4.50,4.50,70.43,66.85,5.895,8.16,5.908,5.908,
1.900,21.458,0.118,0.227,245.846,997.992,-2.017,4.48,4.48,69.77,67.90,5.988,8.15,6.001,6.002,
2.000,21.451,0.119,0.228,247.717,997.994,-2.015,4.50,4.50,72.81,74.16,6.541,8.16,6.555,6.556,
2.100,21.445,0.119,0.228,247.825,997.996,-2.013,4.48,4.48,72.46,72.01,6.352,8.16,6.366,6.366,
2.200,21.444,0.119,0.228,247.814,997.997,-2.013,4.49,4.49,72.70,67.86,5.986,8.15,5.999,5.999,
2.300,21.444,0.118,0.228,247.496,997.997,-2.013,4.50,4.50,72.32,64.16,5.660,8.16,5.672,5.672,
2.400,21.444,0.119,0.229,248.868,997.998,-2.013,4.50,4.50,72.40,85.40,7.534,8.15,7.550,7.550,
2.500,21.442,0.119,0.230,249.468,997.999,-2.012,4.51,4.51,72.66,85.10,7.507,8.16,7.524,7.524,
