//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=184       
StartTime=2019/11/05 20:32:09
EndTime=2019/11/05 20:34:52
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,20.602,0.011,0.006,6.179,998.088,-1.912,0.47,0.47,9.45,71.77,6.529,8.30,6.542,6.542,
0.100,21.308,0.163,0.314,341.232,998.051,-1.949,6.09,6.09,65.50,72.89,6.485,8.21,6.498,6.499,
0.200,21.368,0.159,0.307,333.733,998.036,-1.965,5.59,5.59,67.16,71.10,6.291,8.21,6.305,6.305,
0.300,21.370,0.160,0.308,334.232,998.036,-1.965,5.29,5.29,65.72,69.56,6.154,8.21,6.167,6.167,
0.400,21.370,0.160,0.307,334.081,998.036,-1.965,5.10,5.10,66.23,66.07,5.845,8.20,5.858,5.858,
0.500,21.370,0.159,0.307,333.518,998.037,-1.966,4.88,4.88,64.73,67.19,5.943,8.20,5.956,5.956,
0.600,21.370,0.160,0.308,335.022,998.038,-1.965,4.69,4.69,62.87,66.82,5.907,8.20,5.920,5.920,
0.700,21.369,0.159,0.306,332.740,998.037,-1.966,4.70,4.70,64.06,68.00,6.010,8.20,6.023,6.024,
0.800,21.368,0.157,0.302,327.863,998.036,-1.967,4.67,4.67,64.18,63.40,5.605,8.20,5.617,5.618,
0.900,21.371,0.160,0.308,335.108,998.039,-1.965,4.69,4.69,65.51,66.92,5.917,8.20,5.930,5.930,
1.000,21.372,0.157,0.303,329.583,998.037,-1.967,4.63,4.63,63.84,75.11,6.641,8.19,6.656,6.656,
1.100,21.371,0.156,0.301,327.285,998.037,-1.968,4.60,4.60,63.34,66.56,5.885,8.20,5.897,5.898,
1.200,21.370,0.156,0.300,326.168,998.037,-1.968,4.60,4.60,63.57,65.04,5.750,8.21,5.762,5.763,
1.300,21.369,0.157,0.302,327.907,998.038,-1.967,4.58,4.58,62.49,67.28,5.946,8.20,5.958,5.959,
1.400,21.370,0.157,0.303,329.528,998.039,-1.967,4.61,4.61,63.73,65.94,5.827,8.21,5.840,5.840,
1.500,21.372,0.160,0.309,335.993,998.042,-1.965,4.63,4.63,65.20,66.85,5.908,8.21,5.921,5.921,
1.600,21.373,0.163,0.314,341.244,998.044,-1.963,4.64,4.64,66.31,65.76,5.812,8.21,5.825,5.825,
1.700,21.372,0.160,0.308,334.381,998.042,-1.966,4.63,4.63,66.86,74.89,6.619,8.21,6.634,6.634,
1.800,21.372,0.158,0.304,330.223,998.041,-1.967,4.64,4.64,68.41,71.27,6.299,8.20,6.313,6.313,
